OBJECTID,GEO_ID_TRT,TRACT_LBL,E25077027,M25077027
69,53033006700,Tract 006700,663500,144160
70,53033006800,Tract 006800,968800,69044
71,53033006900,Tract 006900,927800,137307
72,53033007000,Tract 007000,607300,95277
73,53033007100,Tract 007100,476800,145049
74,53033007200,Tract 007200,619300,97752
75,53033007300,Tract 007300,516500,115018
76,53033007401,Tract 007401,306300,38959
77,53033007402,Tract 007402,358300,41895
78,53033007500,Tract 007500,533200,106908
79,53033007600,Tract 007600,668200,132286
80,53033007700,Tract 007700,678600,50469
81,53033007800,Tract 007800,958000,76578
82,53033007900,Tract 007900,450000,30988
83,53033008001,Tract 008001,526600,72609
84,53033008002,Tract 008002,753200,154335
85,53033008100,Tract 008100,625000,91732
86,53033008200,Tract 008200,596300,111581
87,53033008300,Tract 008300,407600,49612
88,53033008400,Tract 008400,700000,493036
89,53033008500,Tract 008500,321300,96954
90,53033008600,Tract 008600,539700,91604
91,53033008700,Tract 008700,547000,79591
92,53033008800,Tract 008800,629700,32640
93,53033008900,Tract 008900,631700,63089
94,53033009000,Tract 009000,390700,56563
95,53033009100,Tract 009100,293900,109211
96,53033009200,Tract 009200,560800,136162
97,53033009300,Tract 009300,494900,47400
98,53033009400,Tract 009400,519300,66808
99,53033009500,Tract 009500,789000,69743
100,53033009600,Tract 009600,775800,60060
101,53033009701,Tract 009701,674900,46810
102,53033009702,Tract 009702,625300,30334
103,53033009800,Tract 009800,602000,23386
104,53033009900,Tract 009900,444900,78164
105,53033010001,Tract 010001,484300,41057
106,53033010002,Tract 010002,511300,60898
107,53033010100,Tract 010100,553900,43362
108,53033010200,Tract 010200,608700,35280
109,53033010300,Tract 010300,451800,34123
110,53033010401,Tract 010401,439700,45544
111,53033010402,Tract 010402,423600,48417
112,53033010500,Tract 010500,552500,43116
113,53033010600,Tract 010600,619300,29643
114,53033010701,Tract 010701,435600,74098
115,53033010702,Tract 010702,479300,52866
116,53033010800,Tract 010800,415300,28712
117,53033010900,Tract 010900,366000,24388
118,53033011001,Tract 011001,375400,38344
119,53033011002,Tract 011002,405600,35037
120,53033011101,Tract 011101,377800,20906
121,53033011102,Tract 011102,604300,66847
122,53033011200,Tract 011200,318700,27079
123,53033011300,Tract 011300,386800,27663
124,53033011401,Tract 011401,367500,34509
125,53033011402,Tract 011402,352900,27768
126,53033011500,Tract 011500,455200,17375
127,53033011600,Tract 011600,679400,33777
