OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
330,149,9,CURRENT,N,102615,L,675,127477.823899729
331,149,9,CURRENT,N,102619,L,676,86726.004671859
332,149,9,CURRENT,N,102628,E,895,76240.3891596762
333,149,9,CURRENT,N,102634,L,630,87985.9470484334
334,149,9,CURRENT,N,102636,L,631,19597.7659745185
335,149,9,CURRENT,N,102638,L,96,15975.1690936256
336,149,9,CURRENT,N,102647,L,635,25729.6462092899
337,149,9,CURRENT,N,102652,L,204,41992.8018868252
338,149,9,CURRENT,N,102653,L,224,78621.4645828792
339,149,9,CURRENT,N,102698,L,627,86500.2984195333
340,149,9,CURRENT,N,102699,L,629,155177.325302085
341,149,9,CURRENT,N,102701,L,225,121138.646862867
342,149,9,CURRENT,N,102702,L,239,77870.4053185209
343,149,9,CURRENT,N,102703,L,231,66561.7398474135
344,149,9,CURRENT,N,102704,L,250,102344.02370001
345,149,9,CURRENT,N,102705,L,230,69649.8891587809
346,149,9,CURRENT,N,102715,L,162,243050.387090463
347,150,0,NEXT,N,100044,E,15,57315.3086836158
348,150,0,NEXT,N,100045,L,150,190382.845933473
349,150,0,NEXT,N,100048,L,153,69311.6448055092
350,150,0,NEXT,N,100059,L,167,205095.024199274
351,150,0,NEXT,N,100060,L,168,86950.9405523719
352,150,0,NEXT,N,100062,E,17,58050.253071727
353,150,0,NEXT,N,100068,L,177,247344.254404687
354,150,0,NEXT,N,100071,E,18,62035.0232150348
355,150,0,NEXT,N,100072,L,181,112737.988594348
356,150,0,NEXT,N,100073,L,182,56207.3098337441
357,150,0,NEXT,N,100074,L,183,80032.9514819644
358,150,0,NEXT,N,100175,L,301,64694.8306064719
359,150,0,NEXT,N,100177,L,303,106546.588335947
360,150,0,NEXT,N,100178,L,304,59507.7449131576
361,150,0,NEXT,N,100184,L,31,71935.2112171267
362,150,0,NEXT,N,100186,L,311,221455.273534242
363,150,0,NEXT,N,100193,L,32,68275.0067077168
364,150,0,NEXT,N,100194,L,33,59658.0705238236
365,150,0,NEXT,N,100195,L,330,44914.3452986217
366,150,0,NEXT,N,100196,L,331,74584.5771397862
367,150,0,NEXT,N,100201,L,342,292612.458187239
368,150,0,NEXT,N,100202,L,345,51683.1437915548
369,150,0,NEXT,N,100203,L,346,59325.6132491382
370,150,0,NEXT,N,100204,L,347,71404.4374475442
371,150,0,NEXT,N,100205,L,348,77757.9623448145
372,150,0,NEXT,N,100210,L,36,60448.6699012268
373,150,0,NEXT,N,100214,E,372,98332.0259400644
374,150,0,NEXT,N,100219,L,4,62229.5550752519
375,150,0,NEXT,N,100223,L,43,53450.222037941
376,150,0,NEXT,N,100224,L,44,40743.5333302244
377,150,0,NEXT,N,100225,L,45,63466.3556610124
378,150,0,NEXT,N,100228,L,48,51750.2117108971
379,150,0,NEXT,N,100229,L,5,96459.7421581644
380,150,0,NEXT,N,100230,L,50,123956.359457256
381,150,0,NEXT,N,100232,E,522,110021.744258786
382,150,0,NEXT,N,100236,E,545,190439.128921066
383,150,0,NEXT,N,100238,L,55,73218.127612867
384,150,0,NEXT,N,100239,E,550,118792.311845899
385,150,0,NEXT,N,100240,E,554,268086.489321817
386,150,0,NEXT,N,100242,L,56,64549.2885790913
387,150,0,NEXT,N,100246,L,57,76165.9191322549
388,150,0,NEXT,N,100249,L,60,95031.2570629968
389,150,0,NEXT,N,100252,L,62,80961.6229000965
390,150,0,NEXT,N,100253,E,64,74468.018989504
391,150,0,NEXT,N,100254,L,65,68707.4182271598
392,150,0,NEXT,N,100259,L,67,54328.7212007435
393,150,0,NEXT,N,100263,L,7,77514.6276947203
394,150,0,NEXT,N,100264,L,70,44142.6377719955
395,150,0,NEXT,N,100267,L,73,61239.5582171009
396,150,0,NEXT,N,100269,L,75,82685.1245974189
397,150,0,NEXT,N,100078,L,187,56184.0723177374
398,150,0,NEXT,N,100082,L,190,215490.480641786
399,150,0,NEXT,N,100089,L,2,60706.729514358
400,150,0,NEXT,N,100099,L,208,177804.14354501
401,150,0,NEXT,N,100101,E,21,88030.6380742324
402,150,0,NEXT,N,100101,L,21,85230.5068572925
403,150,0,NEXT,N,100104,L,212,142247.919861331
404,150,0,NEXT,N,100106,L,214,190471.022647708
405,150,0,NEXT,N,100108,L,216,287227.304469919
406,150,0,NEXT,N,100109,L,217,171288.988425862
407,150,0,NEXT,N,100111,L,22,62910.3634744669
408,150,0,NEXT,N,100113,L,221,129623.684593041
409,150,0,NEXT,N,100124,L,232,171183.334730753
410,150,0,NEXT,N,100129,L,237,127585.846813011
411,150,0,NEXT,N,100132,L,24,80897.5966211302
412,150,0,NEXT,N,100133,L,240,123537.808816944
413,150,0,NEXT,N,100136,L,245,123442.296050413
414,150,0,NEXT,N,100137,L,246,86138.6431565911
415,150,0,NEXT,N,100139,L,249,125360.163384569
416,150,0,NEXT,N,100146,L,255,124013.641727385
417,150,0,NEXT,N,100148,L,257,212289.884917007
418,150,0,NEXT,N,100159,L,268,193079.749373236
419,150,0,NEXT,N,100160,L,269,157108.669113366
420,150,0,NEXT,N,100161,L,27,35475.6424994856
421,150,0,NEXT,N,100162,L,271,191822.427388317
422,150,0,NEXT,N,100169,E,28,103316.376209393
423,150,0,NEXT,N,100173,L,3,55976.1837327372
424,150,0,NEXT,N,100018,L,12,24605.0488407658
425,150,0,NEXT,N,100019,L,120,105886.385629369
426,150,0,NEXT,N,100020,L,121,106549.243470586
427,150,0,NEXT,N,100023,L,124,122918.818369963
428,150,0,NEXT,N,100024,L,125,74937.6089132717
429,150,0,NEXT,N,100026,L,128,144844.606678056
430,150,0,NEXT,N,100028,L,13,38795.6846048139
431,150,0,NEXT,N,100030,L,131,110789.819941723
432,150,0,NEXT,N,100031,L,132,119598.329668797
433,150,0,NEXT,N,100039,L,14,43034.5088197027
434,150,0,NEXT,N,100042,L,148,57156.3240219277
435,150,0,NEXT,N,100272,L,773,36269.1189097176
436,150,0,NEXT,N,100275,L,8,50836.5843285696
437,150,0,NEXT,N,100289,E,9,59306.3226280388
438,150,0,NEXT,N,100290,L,901,35004.8424755297
439,150,0,NEXT,N,100292,L,903,44868.9488480257
440,150,0,NEXT,N,100297,L,914,90457.0718445517
441,150,0,NEXT,N,102555,L,893,44655.196303168
442,150,0,NEXT,N,102557,L,915,114650.557164459
443,150,0,NEXT,N,102561,L,907,119978.507900029
444,150,0,NEXT,N,102572,L,29,65950.508726191
445,150,0,NEXT,N,102574,L,40,98327.8892548327
446,150,0,NEXT,N,102576,L,673,93365.499736006
447,150,0,NEXT,N,102581,L,674,69259.8913487509
448,150,0,NEXT,N,102593,L,906,81418.4267229573
449,150,0,NEXT,N,102615,L,675,127477.823899729
450,150,0,NEXT,N,102619,L,676,86726.004671859
451,150,0,NEXT,N,102628,E,895,76240.3891596762
452,150,0,NEXT,N,102634,L,630,87985.9470484334
453,150,0,NEXT,N,102636,L,631,19597.7659745185
454,150,0,NEXT,N,102638,L,96,15975.1690936256
455,150,0,NEXT,N,102647,L,635,25729.6462092899
456,150,0,NEXT,N,102652,L,204,41992.8018868252
457,150,0,NEXT,N,102653,L,224,78621.4645828792
458,150,0,NEXT,N,102698,L,627,86500.2984195333
459,150,0,NEXT,N,102699,L,629,155177.325302085
460,150,0,NEXT,N,102701,L,225,121138.646862867
461,150,0,NEXT,N,102702,L,239,77870.4053185209
462,150,0,NEXT,N,102703,L,231,66561.7398474135
463,150,0,NEXT,N,102704,L,250,102338.72353112
464,150,0,NEXT,N,102705,L,230,69649.8891587809
465,150,0,NEXT,N,102715,L,162,243050.387090463
466,150,0,NEXT,N,102717,L,165,169098.436268251
467,150,0,NEXT,N,102718,L,184,30624.0727648622
468,150,0,NEXT,N,102719,L,161,88704.8416033116
469,150,0,NEXT,N,102720,L,160,137612.971507069
470,150,0,NEXT,N,102727,E,16,89028.7232141715
471,150,0,NEXT,N,102728,L,320,94958.4094958292
472,150,0,NEXT,N,102729,L,322,102870.434198795
473,150,0,NEXT,N,102730,L,20,67279.034004681
474,150,0,NEXT,N,102731,L,302,133359.603482623
475,150,0,NEXT,N,102732,L,79,65539.5994835695
476,150,0,NEXT,N,102734,E,566,293330.591445792
477,150,0,NEXT,N,100300,L,917,45707.1852173158
478,150,0,NEXT,N,100336,L,973,20852.8323490093
479,150,0,NEXT,N,100337,L,975,50453.0677082509
480,150,0,NEXT,N,100340,L,98,10163.8196764764
481,150,0,NEXT,N,100341,E,982,215565.778097303
482,150,0,NEXT,N,100343,E,984,71426.7621726305
483,150,0,NEXT,N,100344,E,986,157759.735978813
484,150,0,NEXT,N,100345,E,987,194281.231760704
485,150,0,NEXT,N,100346,E,988,89938.4935755652
486,150,0,NEXT,N,100347,E,989,236177.397718627
487,150,0,NEXT,N,100350,E,994,114798.259975915
488,150,0,NEXT,N,100447,L,49,52185.5404593165
489,150,0,NEXT,N,100451,E,556,209458.697897417
490,150,0,NEXT,N,100459,L,218,198510.312648963
491,150,0,NEXT,N,100473,E,981,139267.261667633
492,150,0,NEXT,N,100479,L,599,258502.007203527
493,150,0,NEXT,N,100481,L,775,27727.6457775421
494,150,0,NEXT,N,100487,L,102,192440.021147247
495,150,0,NEXT,N,100489,L,156,91633.6288964
496,150,0,NEXT,N,100495,E,193,256600.656629804
497,150,0,NEXT,N,100496,L,930,52616.614801504
498,150,0,NEXT,N,100511,E,542,137200.174587446
499,150,0,NEXT,N,100512,L,671,114889.559828374
500,150,0,NEXT,N,102548,L,672,76498.9755017794
501,150,0,NEXT,N,102552,L,226,92044.4108162406
502,150,0,NEXT,N,102554,L,241,57111.2178292076
